VARIABLE,REGION,INTERCONNECTION,FUEL,YEAR,VALUE
InterDiscountedTradeCost,EL51,TURKEY,Elec_Storage,2040,0.0
InterDiscountedTradeCost,EL51,TURKEY,Elec_Storage,2045,0.0
InterDiscountedTradeCost,EL51,TURKEY,Elec_Storage,2050,0.0
InterDiscountedTradeCost,EL51,TURKEY,Elec_Transmission,2023,-3.756843600711796
InterDiscountedTradeCost,EL51,TURKEY,Elec_Transmission,2025,-77.34303529011228
InterDiscountedTradeCost,EL51,TURKEY,Elec_Transmission,2030,-20.947024935087143
InterDiscountedTradeCost,EL51,TURKEY,Elec_Transmission,2035,1.0452700448653798
InterDiscountedTradeCost,EL51,TURKEY,Elec_Transmission,2040,11.584481267445758
InterDiscountedTradeCost,EL51,TURKEY,Elec_Transmission,2045,9.044562789222537
InterDiscountedTradeCost,EL51,TURKEY,Elec_Transmission,2050,8.676959425091326
InterDiscountedTradeCost,EL51,TURKEY,GRBiomass,2023,0.0
InterDiscountedTradeCost,EL51,TURKEY,GRBiomass,2025,0.0
InterDiscountedTradeCost,EL51,TURKEY,GRBiomass,2030,0.0
InterDiscountedTradeCost,EL51,TURKEY,GRBiomass,2035,0.0
InterDiscountedTradeCost,EL51,TURKEY,GRBiomass,2040,0.0
InterDiscountedTradeCost,EL51,TURKEY,GRBiomass,2045,0.0
InterDiscountedTradeCost,EL51,TURKEY,GRBiomass,2050,0.0
InterDiscountedTradeCost,EL51,TURKEY,GRGas,2023,0.0
InterDiscountedTradeCost,EL51,TURKEY,GRGas,2025,0.0
InterDiscountedTradeCost,EL51,TURKEY,GRGas,2030,0.0
InterDiscountedTradeCost,EL51,TURKEY,GRGas,2035,0.0
InterDiscountedTradeCost,EL51,TURKEY,GRGas,2040,0.0
InterDiscountedTradeCost,EL51,TURKEY,GRGas,2045,0.0
InterDiscountedTradeCost,EL51,TURKEY,GRGas,2050,0.0
InterDiscountedTradeCost,EL51,TURKEY,GRLignite,2023,0.0
InterDiscountedTradeCost,EL51,TURKEY,GRLignite,2025,0.0
InterDiscountedTradeCost,EL51,TURKEY,GRLignite,2030,0.0
InterDiscountedTradeCost,EL51,TURKEY,GRLignite,2035,0.0
InterDiscountedTradeCost,EL51,TURKEY,GRLignite,2040,0.0
InterDiscountedTradeCost,EL51,TURKEY,GRLignite,2045,0.0
InterDiscountedTradeCost,EL51,TURKEY,GRLignite,2050,0.0
InterDiscountedTradeCost,EL51,TURKEY,GROil,2023,0.0
InterDiscountedTradeCost,EL51,TURKEY,GROil,2025,0.0
InterDiscountedTradeCost,EL51,TURKEY,GROil,2030,0.0
InterDiscountedTradeCost,EL51,TURKEY,GROil,2035,0.0
InterDiscountedTradeCost,EL51,TURKEY,GROil,2040,0.0
InterDiscountedTradeCost,EL51,TURKEY,GROil,2045,0.0
InterDiscountedTradeCost,EL51,TURKEY,GROil,2050,0.0
InterDiscountedTradeCost,EL52,BULGARIA,Elec_Demand,2023,0.0
