REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
EL54,CoalExtraction,1,2023,2.77
EL54,CoalExtraction,1,2025,2.959739358
EL54,CoalExtraction,1,2030,1.555910414
EL54,CoalExtraction,1,2035,1.364833696
EL54,CoalExtraction,1,2040,1.173756979
EL54,CoalExtraction,1,2045,1.119163631
EL54,CoalExtraction,1,2050,1.064570283
EL61,CoalExtraction,1,2023,2.77
EL61,CoalExtraction,1,2025,2.959739358
EL61,CoalExtraction,1,2030,1.555910414
EL61,CoalExtraction,1,2035,1.364833696
EL61,CoalExtraction,1,2040,1.173756979
EL61,CoalExtraction,1,2045,1.119163631
EL61,CoalExtraction,1,2050,1.064570283
EL62,CoalExtraction,1,2023,2.77
EL62,CoalExtraction,1,2025,2.959739358
EL62,CoalExtraction,1,2030,1.555910414
EL62,CoalExtraction,1,2035,1.364833696
EL62,CoalExtraction,1,2040,1.173756979
EL62,CoalExtraction,1,2045,1.119163631
EL62,CoalExtraction,1,2050,1.064570283
EL63,CoalExtraction,1,2023,2.77
EL63,CoalExtraction,1,2025,2.959739358
EL63,CoalExtraction,1,2030,1.555910414
EL63,CoalExtraction,1,2035,1.364833696
